pc16,cmd,name,cmd_byte,param,byte1,byte2,format
0x0a39,cmd22,cmd22_set_dom_href_to_reg16,44,-1,-1,-1,cmd22_set_dom_href_to_reg16()
0x0a3a,cmd19,cmd19_issue_new_frame,38,-1,-1,-1,cmd19_issue_new_frame()
0x0a3b,cmd12,cmd12_goto,24,2618,58,10,cmd12_goto(/*addr16*/ 0x0a3a)
0x0a3e,cmd00,cmd00_write_param16_to_reg16,0,12560,16,49,cmd00_write_param16_to_reg16(/*param16*/ 0x3110)
0x0a41,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a42,cmd15,cmd15_stack_preserve_call,30,2992,176,11,cmd15_stack_preserve_call(/*addr16*/ 0x0bb0)
0x0a45,cmd07,cmd07_check_reg16_lt_param16,14,4,4,0,cmd07_check_reg16_lt_param16(/*param16*/ 0x0004)
0x0a48,cmd13,cmd13_beq,26,1021,253,3,cmd13_beq(/*addr16*/ 0x03fd)
0x0a4b,cmd06,cmd06_check_reg16_is_param16,12,4,4,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0004)
0x0a4e,cmd13,cmd13_beq,26,2669,109,10,cmd13_beq(/*addr16*/ 0x0a6d)
0x0a51,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0a52,cmd00,cmdl00_write_param16_to_reg16,1,13235,179,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b3)
0x0a55,cmd06,cmd06_check_reg16_is_param16,12,3,3,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0003)
0x0a58,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0a59,cmd13,cmd13_beq,26,2676,116,10,cmd13_beq(/*addr16*/ 0x0a74)
0x0a5c,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0a5d,cmd00,cmdl00_write_param16_to_reg16,1,13235,179,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b3)
0x0a60,cmd06,cmd06_check_reg16_is_param16,12,6,6,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0006)
0x0a63,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0a64,cmd13,cmd13_beq,26,2689,129,10,cmd13_beq(/*addr16*/ 0x0a81)
0x0a67,cmd15,cmd15_stack_preserve_call,30,2757,197,10,cmd15_stack_preserve_call(/*addr16*/ 0x0ac5)
0x0a6a,cmd12,cmd12_goto,24,2626,66,10,cmd12_goto(/*addr16*/ 0x0a42)
0x0a6d,cmd00,cmd00_write_param16_to_reg16,0,12722,178,49,cmd00_write_param16_to_reg16(/*param16*/ 0x31b2)
0x0a70,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a71,cmd12,cmd12_goto,24,2626,66,10,cmd12_goto(/*addr16*/ 0x0a42)
0x0a74,cmd00,cmd00_write_param16_to_reg16,0,12752,208,49,cmd00_write_param16_to_reg16(/*param16*/ 0x31d0)
0x0a77,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a78,cmd00,cmd00_write_param16_to_reg16,0,1,1,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0001)
0x0a7b,cmd01,cmd01_store_reg16_to_tape_addr,2,13257,201,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33c9)
0x0a7e,cmd12,cmd12_goto,24,2632,72,10,cmd12_goto(/*addr16*/ 0x0a48)
0x0a81,cmd00,cmd00_write_param16_to_reg16,0,12844,44,50,cmd00_write_param16_to_reg16(/*param16*/ 0x322c)
0x0a84,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a85,cmd12,cmd12_goto,24,2626,66,10,cmd12_goto(/*addr16*/ 0x0a42)
0x0a88,cmd00,cmdl00_write_param16_to_reg16,1,13231,175,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33af)
0x0a8b,cmd01,cmd01_store_reg16_to_tape_addr,2,2756,196,10,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x0ac4)
0x0a8e,cmd00,cmd00_write_param16_to_reg16,0,13258,202,51,cmd00_write_param16_to_reg16(/*param16*/ 0x33ca)
0x0a91,cmd04,cmdl04_sum_reg16_param16_to_reg16,9,2754,194,10,cmdl04_sum_reg16_param16_to_reg16(/*param16*/ 0x0ac2)
0x0a94,cmd02,cmd02_store_loaded_reg16_to_loaded_param16,4,2755,195,10,cmd02_store_loaded_reg16_to_loaded_param16(/*addr16*/ 0x0ac3)
0x0a97,cmd00,cmd00_write_param16_to_reg16,0,13222,166,51,cmd00_write_param16_to_reg16(/*param16*/ 0x33a6)
0x0a9a,cmd04,cmdl04_sum_reg16_param16_to_reg16,9,13221,165,51,cmdl04_sum_reg16_param16_to_reg16(/*param16*/ 0x33a5)
0x0a9d,cmd04,cmdl04_sum_reg16_param16_to_reg16,9,2754,194,10,cmdl04_sum_reg16_param16_to_reg16(/*param16*/ 0x0ac2)
0x0aa0,cmd03,cmdl03_set_loaded_reg16_to_param16,7,2755,195,10,cmdl03_set_loaded_reg16_to_param16(/*param16*/ 0x0ac3)
0x0aa3,cmd00,cmdl00_write_param16_to_reg16,1,2754,194,10,cmdl00_write_param16_to_reg16(/*param16*/ 0x0ac2)
0x0aa6,cmd04,cmd04_sum_reg16_param16_to_reg16,8,1,1,0,cmd04_sum_reg16_param16_to_reg16(/*param16*/ 0x0001)
0x0aa9,cmd01,cmd01_store_reg16_to_tape_addr,2,2754,194,10,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x0ac2)
0x0aac,cmd06,cmdl06_check_reg16_is_param16,13,2756,196,10,cmdl06_check_reg16_is_param16(/*param16*/ 0x0ac4)
0x0aaf,cmd14,cmd14_bne,28,2702,142,10,cmd14_bne(/*addr16*/ 0x0a8e)
0x0ab2,cmd00,cmd00_write_param16_to_reg16,0,13222,166,51,cmd00_write_param16_to_reg16(/*param16*/ 0x33a6)
0x0ab5,cmd04,cmdl04_sum_reg16_param16_to_reg16,9,13221,165,51,cmdl04_sum_reg16_param16_to_reg16(/*param16*/ 0x33a5)
0x0ab8,cmd04,cmdl04_sum_reg16_param16_to_reg16,9,2754,194,10,cmdl04_sum_reg16_param16_to_reg16(/*param16*/ 0x0ac2)
0x0abb,cmd03,cmd03_set_loaded_reg16_to_param16,6,255,255,0,cmd03_set_loaded_reg16_to_param16(/*param16*/ 0x00ff)
0x0abe,cmd00,cmd00_write_param16_to_reg16,0,13222,166,51,cmd00_write_param16_to_reg16(/*param16*/ 0x33a6)
0x0ac1,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0ac2,cmd00,cmd00_write_param16_to_reg16,0,0,0,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0000)
0x0ac5,cmd06,cmd06_check_reg16_is_param16,12,4,4,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0004)
0x0ac8,cmd13,cmd13_beq,26,2774,214,10,cmd13_beq(/*addr16*/ 0x0ad6)
0x0acb,cmd06,cmd06_check_reg16_is_param16,12,5,5,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0005)
0x0ace,cmd13,cmd13_beq,26,2779,219,10,cmd13_beq(/*addr16*/ 0x0adb)
0x0ad1,cmd00,cmd00_write_param16_to_reg16,0,12405,117,48,cmd00_write_param16_to_reg16(/*param16*/ 0x3075)
0x0ad4,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0ad5,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0ad6,cmd00,cmd00_write_param16_to_reg16,0,12427,139,48,cmd00_write_param16_to_reg16(/*param16*/ 0x308b)
0x0ad9,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0ada,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0adb,cmd00,cmdl00_write_param16_to_reg16,1,13236,180,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b4)
0x0ade,cmd06,cmd06_check_reg16_is_param16,12,1,1,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0001)
0x0ae1,cmd13,cmd13_beq,26,2793,233,10,cmd13_beq(/*addr16*/ 0x0ae9)
0x0ae4,cmd00,cmd00_write_param16_to_reg16,0,12465,177,48,cmd00_write_param16_to_reg16(/*param16*/ 0x30b1)
0x0ae7,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0ae8,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0ae9,cmd00,cmd00_write_param16_to_reg16,0,12494,206,48,cmd00_write_param16_to_reg16(/*param16*/ 0x30ce)
0x0aec,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0aed,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0aee,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0aef,cmd00,cmdl00_write_param16_to_reg16,1,13236,180,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b4)
0x0af2,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0af5,cmd14,cmd14_bne,28,2819,3,11,cmd14_bne(/*addr16*/ 0x0b03)
0x0af8,cmd00,cmd00_write_param16_to_reg16,0,1,1,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0001)
0x0afb,cmd01,cmd01_store_reg16_to_tape_addr,2,13236,180,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b4)
0x0afe,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0aff,cmd01,cmd01_store_reg16_to_tape_addr,2,13235,179,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b3)
0x0b02,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0b03,cmd18,cmd18_pop_stack_to_reg16,36,-1,-1,-1,cmd18_pop_stack_to_reg16()
0x0b04,cmd00,cmd00_write_param16_to_reg16,0,12518,230,48,cmd00_write_param16_to_reg16(/*param16*/ 0x30e6)
0x0b07,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0b08,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
0x0b09,cmd00,cmd00_write_param16_to_reg16,0,0,0,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0000)
0x0b0c,cmd01,cmd01_store_reg16_to_tape_addr,2,13236,180,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b4)
0x0b0f,cmd01,cmd01_store_reg16_to_tape_addr,2,13235,179,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b3)
0x0b12,cmd16,cmd16_return,32,-1,-1,-1,cmd16_return()
